"행정구역","2022년06월_남_총인구수","2022년06월_남_연령구간인구수","2022년06월_남_0~9세","2022년06월_남_10~19세","2022년06월_남_20~29세","2022년06월_남_30~39세","2022년06월_남_40~49세","2022년06월_남_50~59세","2022년06월_남_60~69세","2022년06월_남_70~79세","2022년06월_남_80~89세","2022년06월_남_90~99세","2022년06월_남_100세 이상","2022년06월_여_총인구수","2022년06월_여_연령구간인구수","2022년06월_여_0~9세","2022년06월_여_10~19세","2022년06월_여_20~29세","2022년06월_여_30~39세","2022년06월_여_40~49세","2022년06월_여_50~59세","2022년06월_여_60~69세","2022년06월_여_70~79세","2022년06월_여_80~89세","2022년06월_여_90~99세","2022년06월_여_100세 이상"
"전라남도 광양시 광양읍(4623025000)","24,740","24,740","2,011","2,642","3,137","2,802","4,102","4,661","3,345","1,458","534","48","0","23,613","23,613","1,983","2,404","2,594","2,710","3,647","4,087","3,108","1,677","1,152","245","6"
"전라남도 광양시 봉강면(4623031000)","1,117","1,117","36","65","110","84","115","245","242","130","78","12","0","1,031","1,031","21","49","68","57","79","188","207","166","155","41","0"
"전라남도 광양시 옥룡면(4623032000)","1,513","1,513","40","63","143","71","119","357","382","203","119","16","0","1,536","1,536","33","75","92","70","127","265","299","263","257","53","2"
"전라남도 광양시 옥곡면(4623033000)","2,562","2,562","147","137","328","279","262","621","433","228","117","10","0","2,429","2,429","128","128","259","220","265","527","391","258","212","40","1"
"전라남도 광양시 진상면(4623034000)","1,378","1,378","24","75","106","75","109","319","302","222","133","12","1","1,352","1,352","34","39","63","59","82","217","271","270","257","58","2"
"전라남도 광양시 진월면(4623035000)","1,368","1,368","30","43","104","81","153","291","295","236","122","13","0","1,385","1,385","37","42","77","59","89","172","306","300","234","67","2"
"전라남도 광양시 다압면(4623036000)","874","874","20","44","75","38","88","182","231","114","79","3","0","863","863","19","43","33","44","58","127","203","173","145","17","1"
"전라남도 광양시 골약동(4623051500)","2,362","2,362","362","155","254","533","324","317","204","132","75","6","0","2,076","2,076","327","123","194","493","242","218","180","144","119","34","2"
"전라남도 광양시 중마동(4623053000)","30,113","30,113","2,879","3,675","4,647","4,301","5,199","6,113","2,456","642","185","16","0","26,951","26,951","2,775","3,471","3,403","3,651","5,043","5,259","2,113","725","422","85","4"
"전라남도 광양시 광영동(4623054000)","6,116","6,116","375","556","843","619","928","1,492","931","295","73","4","0","5,461","5,461","386","529","606","508","756","1,241","882","323","187","42","1"
"전라남도 광양시 금호동(4623055000)","6,136","6,136","366","618","1,249","701","583","1,363","952","265","37","2","0","4,992","4,992","354","550","630","472","657","1,232","831","163","86","17","0"
"전라남도 광양시 태인동(4623057000)","947","947","23","48","120","96","112","212","199","97","38","2","0","754","754","24","51","50","40","50","146","161","111","106","15","0"
"전라남도 담양군 (4671000000)","23,344","23,344","1,017","1,558","2,570","1,773","2,835","4,574","4,659","2,824","1,393","140","1","22,815","22,815","1,076","1,461","1,790","1,692","2,222","3,650","4,217","3,328","2,863","492","24"
"전라남도 담양군 담양읍(4671025000)","7,625","7,625","509","682","955","761","1,078","1,338","1,199","719","348","35","1","7,639","7,639","582","605","736","776","970","1,169","1,166","871","627","130","7"
"전라남도 담양군 봉산면(4671031000)","1,413","1,413","53","54","112","106","186","298","307","172","115","10","0","1,318","1,318","60","48","89","80","105","212","272","249","166","37","0"
"전라남도 담양군 고서면(4671032000)","1,575","1,575","40","83","140","103","163","322","387","240","89","8","0","1,524","1,524","44","78","106","95","118","256","338","255","202","30","2"
"전라남도 담양군 가사문학면(4671033500)","607","607","10","21","38","28","54","141","168","90","51","6","0","603","603","15","25","36","35","37","109","123","104","98","20","1"
"전라남도 담양군 창평면(4671034000)","1,801","1,801","62","106","157","120","191","369","411","246","132","7","0","1,800","1,800","48","146","111","112","125","300","366","294","264","33","1"
"전라남도 담양군 대덕면(4671035000)","973","973","21","60","98","54","93","206","250","115","70","6","0","914","914","28","37","76","54","69","167","176","147","138","20","2"
"전라남도 담양군 무정면(4671036000)","1,426","1,426","26","47","372","75","110","243","260","187","95","11","0","1,170","1,170","27","46","81","51","84","165","261","216","201","37","1"
"전라남도 담양군 금성면(4671037000)","1,301","1,301","30","58","119","89","153","252","280","197","108","15","0","1,254","1,254","33","48","88","60","87","181","276","211","222","43","5"
"전라남도 담양군 용면(4671038000)","900","900","32","36","60","58","100","181","204","160","62","7","0","893","893","22","37","63","59","65","145","191","164","128","18","1"
"전라남도 담양군 월산면(4671039000)","1,217","1,217","43","61","88","71","141","258","271","194","83","7","0","1,177","1,177","43","57","63","87","95","185","244","197","176","28","2"
"전라남도 담양군 수북면(4671040000)","2,367","2,367","104","180","230","171","287","491","507","262","115","20","0","2,326","2,326","87","137","192","139","254","422","429","308","313","43","2"
"전라남도 담양군 대전면(4671041000)","2,139","2,139","87","170","201","137","279","475","415","242","125","8","0","2,197","2,197","87","197","149","144","213","339","375","312","328","53","0"
"전라남도 곡성군 (4672000000)","13,512","13,512","472","987","1,166","836","1,558","2,640","2,856","1,820","1,057","115","5","13,884","13,884","440","817","965","736","1,268","2,103","2,476","2,259","2,318","487","15"
"전라남도 곡성군 곡성읍(4672025000)","3,754","3,754","195","345","382","289","542","686","647","427","215","24","2","3,985","3,985","199","294","339","299","503","585","666","532","459","103","6"
"전라남도 곡성군 오곡면(4672031000)","899","899","21","62","64","55","84","163","227","127","88","8","0","929","929","26","53","47","37","58","121","177","190","192","28","0"
"전라남도 곡성군 삼기면(4672032000)","814","814","11","48","52","43","85","148","200","133","85","9","0","843","843","15","32","34","30","45","133","156","159","194","44","1"
"전라남도 곡성군 석곡면(4672033000)","1,072","1,072","39","58","69","52","94","223","253","160","110","13","1","1,203","1,203","19","44","64","45","96","189","213","220","250","61","2"
"전라남도 곡성군 목사동면(4672034000)","665","665","18","17","38","40","63","136","157","119","73","4","0","658","658","5","17","29","25","28","101","136","134","160","22","1"
"전라남도 곡성군 죽곡면(4672035000)","903","903","27","43","64","44","64","181","222","172","79","7","0","947","947","16","30","49","37","66","154","197","174","174","50","0"
"전라남도 곡성군 고달면(4672036000)","573","573","17","21","43","27","51","105","150","90","65","4","0","575","575","8","26","28","20","21","81","104","126","133","27","1"
"전라남도 곡성군 옥과면(4672037000)","2,074","2,074","79","224","238","153","260","403","372","219","109","16","1","2,038","2,038","93","179","210","133","237","313","327","265","236","44","1"
"전라남도 곡성군 입면(4672038000)","1,218","1,218","26","102","107","53","156","292","231","144","94","13","0","1,167","1,167","29","77","81","41","115","184","194","177","225","44","0"
"전라남도 곡성군 겸면(4672039000)","806","806","17","41","47","42","97","162","191","116","82","10","1","838","838","15","38","42","38","47","127","152","169","170","39","1"
"전라남도 곡성군 오산면(4672040000)","734","734","22","26","62","38","62","141","206","113","57","7","0","701","701","15","27","42","31","52","115","154","113","125","25","2"
"전라남도 구례군 (4673000000)","12,194","12,194","468","895","1,038","725","1,425","2,492","2,548","1,614","902","86","1","12,817","12,817","512","823","778","699","1,245","1,996","2,449","2,085","1,892","328","10"
"전라남도 구례군 구례읍(4673025000)","5,164","5,164","278","516","545","377","680","998","916","565","263","26","0","5,442","5,442","311","478","410","398","686","914","901","716","519","103","6"
"전라남도 구례군 문척면(4673031000)","654","654","22","38","50","16","73","140","165","80","66","4","0","633","633","16","26","33","25","48","112","123","118","111","20","1"
"전라남도 구례군 간전면(4673032000)","720","720","15","27","38","35","84","156","167","120","70","8","0","755","755","19","39","41","33","51","106","158","143","147","18","0"
